;Sterivex filter_1.0;Sterivex filter_2.0;Sterivex filter_3.0;Sterivex filter_4.0;crush_2.0;crush_3.0;crush_4.0
"4c1c08152f0b3c5933866e0bf63c83a1d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__CG2-30-50-142; f__CG2-30-50-142; g__CG2-30-50-142; s__";1;1;1;1;1;1;1
"4e897abc326e3ca97afda0f480481822d__Bacteria; p__Firmicutes; c__Desulfotomaculia; o__Desulfotomaculales; f__Desulfotomaculales; g__Pelotomaculum; s__";1;1;1;1;0;1;0
"508f0217955168855a182df0abcba133d__Archaea; p__Hadarchaeota; c__Hadarchaeia; o__Hadarchaeia; f__Hadarchaeales; g__Hadarchaeales; s__";1;1;1;1;0;1;0
"50d55ae88771af4539eccc62651c4b41d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__";0;1;0;0;1;1;1
"55763ab50d2b66fb859ab4d596c9690ad__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__";1;0;0;0;1;1;1
"5758cf44d1cae43eda17ed41d53e91c0d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__uncultured; s__";0;0;0;0;1;1;0
"57ce698d6eddb9b9f9dfc8300aa8b291d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__";1;1;1;1;1;1;1
"5c29e62d6bcc7bca10d4b8161d272436d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Leptolinea; s__";0;0;0;0;1;1;0
"5cc6bd23925f2f34eb845f3f2ac7903cd__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__";1;1;0;0;1;1;0
"5e4c21f48de1bfb13d936f7c764f7fe6d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__";0;0;0;0;1;1;0
"6170f4feb36d8f183c5b6cc510e365a9d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ectothiorhodospirales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__";0;0;0;1;0;0;0
"64107cc2cba245fb28e27874d0a2a6e3d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella; s__";0;0;0;0;1;0;0
"66e94bc0a7a0ae1df24709bfbebd7638d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__";0;0;1;0;1;1;1
"676d924cbdf37b8351837a597788364cd__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae";0;1;0;0;1;1;1
"681f096399bda07f6d4a104e7b122645d__Bacteria; p__Desulfobacterota; c__Desulfarculia; o__Desulfarculales; f__Desulfarculaceae; g__uncultured; s__";0;0;0;0;1;1;1
"6a7560d7667ea1fb465f4b72c71350fad__Bacteria; p__Nitrospirota; c__4-29-1; o__4-29-1; f__4-29-1; g__4-29-1; s__";0;0;1;0;1;1;1
"6ac576efc71466e289fd132d955c4059d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__SR-FBR-L83; g__SR-FBR-L83; s__";1;1;1;1;1;1;1
"6c96a1695f90c8c98ef17b98af81c5b3d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__";1;0;0;0;1;1;0
"6dc04c952d69d17ad4c3dd6ff348e02bd__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Halothiobacillales; f__Halothiobacillaceae; g__Thiovirga; s__";1;1;1;1;1;1;1
6e1e3f9155548c1ed09522e878192c6bd__Bacteria;0;0;1;1;1;1;1
"70587a5848f80e8639f9bb824c9236fad__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae";0;0;0;0;1;1;0
"75c84c02b1bafaf715147714e101167fd__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae; g__Candidatus_Omnitrophus; s__";1;1;1;1;0;0;0
"783871e8dd6b25402fb048a42612f0f5d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__Ignavibacterium; s__";0;1;1;1;1;1;1
"78f0a863bdd37345703d7c3560456b5fd__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__";0;0;0;0;1;0;0
"7cabb4f21b4af8282f1723e892e73e3ad__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Methyloversatilis; s__";1;1;1;0;1;1;1
"7d3113eef8b6629e488168d3c0b74142d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__uncultured; s__";1;0;1;0;1;1;0
"818a463dfc40d5eda0091aa71e49dfa3d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__uncultured; g__uncultured; s__";1;1;1;1;1;1;1
"8374245feaa1385dc63cff53103248b5d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfurivibrionaceae; g__Desulfurivibrio; s__";1;1;1;0;1;1;1
"875e5fb3f4a62c0cf528085c197fc602d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured; s__";0;0;0;1;1;1;1
"8763917062d9808ec37219dac08196e9d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae; s__";0;0;0;0;1;1;0
"88590c8ecc763957576aab04c49ca203d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota; s__";1;1;1;1;1;1;1
"88663ef066d7777dd22a9eae005e7f25d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella; s__";0;0;0;0;1;0;0
"88f5985ee504f8907ec7e7b26ea77d82d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__CG2-30-50-142; f__CG2-30-50-142; g__CG2-30-50-142; s__";0;0;0;0;1;1;1
"8d545d50aa47c10f7a84f874bb6e95cfd__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae; g__Candidatus_Omnitrophus; s__";1;1;1;1;0;0;0
"8e2404c219b9f68f7b523797fbb1dcebd__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus; s__";0;0;0;0;1;1;0
"981fed1ccdc959080eb6319e4d74b0c2d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__uncultured; s__";0;1;1;1;0;0;1
